sale_id,date,region,tyre_type,tyre_size,units_sold,unit_price,total_sales,revenue,bill_date,price
S00001,2024-04-12,South,Biased,18,147.0,4408.0,647976.0,647976.0,2024-04-12,4408
S00002,2024-06-28,East,Biased,15,90.0,5160.0,464400.0,464400.0,2024-06-28,5160
S00003,2024-04-02,North,Biased,18,113.0,4801.0,542513.0,542513.0,2024-04-02,4801
S00004,2024-01-15,North,Radial,14,104.0,3784.0,393536.0,393536.0,2024-01-15,3784
S00005,2024-04-16,Eest,Biased,16,139.0,5033.0,699587.0,699587.0,2024-04-16,5033
S00006,2024-03-12,North,Biased,18,67.0,4148.0,277916.0,277916.0,2024-03-12,4148
S00007,2024-07-07,North,Radial,14,65.0,3865.0,251225.0,251225.0,2024-07-07,3865
S00008,2024-01-21,East,Radial,18,136.0,5143.0,699448.0,699448.0,2024-01-21,5143
S00009,2024-04-12,North,Biased,15,95.0,4591.0,436145.0,436145.0,2024-04-12,4591
S00010,2024-05-01,West,Biased,18,85.0,4627.0,393295.0,393295.0,2024-05-01,4627
S00011,2024-03-15,South,Biased,15,139.0,4924.0,684436.0,684436.0,2024-03-15,4924
S00012,2024-03-28,East,Biased,15,115.0,4769.0,548435.0,548435.0,2024-03-28,4769
S00013,2024-04-26,South,Biased,14,93.0,5200.0,483600.0,483600.0,2024-04-26,5200
S00014,2024-04-09,North,Biased,17,54.0,3691.0,200853.24,200073.52,2024-04-09,3691
S00015,2024-04-13,North,Radial,18,78.0,5230.0,407940.0,407940.0,2024-04-13,5230
S00016,2024-05-31,West,Radial,16,53.0,4143.0,219579.0,219579.0,2024-05-31,4143
S00017,2024-05-10,East,Biased,15,148.0,4819.0,713212.0,713212.0,2024-05-10,4819
S00018,2024-05-29,North,Biased,17,135.0,4667.0,630045.0,630045.0,2024-05-29,4667
S00019,2024-02-22,East,Biased,15,98.0,4406.0,431788.0,431788.0,2024-02-22,4406
S00021,2024-03-28,East,Biased,17,134.0,3525.0,472350.0,472350.0,2024-03-28,3525
S00022,2024-06-06,East,Radial,16,57.0,4774.0,272118.0,272118.0,2024-06-06,4774
