Sale_ID,Date,Region,Tyre_Type,Tyre_Size,Units_Sold,Unit_Price,Total_Sales
S00001,2024-04-12,South,Biased,18,147.0,4408,647976.0
S00002,2024-06-28,East,Biased,15,90.0,5160,464400.0
S00003,2024-04-02,North,Biased,18,113.0,4801,542513.0
S00004,2024-01-15,North,Radial,14,104.0,3784,393536.0
S00005,2024-04-16,Eest,Biased,16,139.0,5033,699587.0
S00006,2024-03-12,North,Biased,18,67.0,4148,277916.0
S00007,2024-07-07,North,RADIAL,14,65.0,3865,251225.0
S00008,2024-01-21,East,Radial,18,136.0,5143,699448.0
S00009,2024-04-12,North,Biased,15,95.0,4591,436145.0
S00010,2024-05-01,West,Biased,18,85.0,4627,393295.0
S00011,2024-03-15,South,Biased,15,139.0,4924,684436.0
S00012,2024-03-28,East,Biased,15,115.0,4769,548435.0
S00013,2024-04-26,South,Biased,14,93.0,5200,483600.0
S00014,2024-04-09,North,Biased,17,54.0,3691,199314.0
S00015,2024-04-13,North,Radial,18,78.0,5230,407940.0
S00016,2024-05-31,West,Radial,16,53.0,4143,219579.0
S00017,2024-05-10,East,Biased,15,148.0,4819,713212.0
S00018,2024-05-29,North,Biased,17,135.0,4667,630045.0
S00019,2024-02-22,East,Biased,15,98.0,4406,431788.0
S00020,02/01/2024,East,Radial,17,121.0,4230,
S00021,2024-03-28,East,Biased,17,134.0,3525,472350.0
S00022,2024-06-06,East,Radial,16,57.0,4774,272118.0
S00023,2024-02-07,East,Radial,17,101.0,5130,518130.0
S00024,2024-05-09,South,Biased,16,118.0,5389,635902.0
S00025,2024-07-10,West,Radial,14,70.0,4211,294770.0
S00026,2024-07-06,East,Biased,15,76.0,4114,312664.0
S00027,2024-01-21,South,Radial,16,87.0,3692,321204.0
S00028,2024-06-09,North,Biased,15,54.0,3880,209520.0
S00029,2024-02-27,East,Biased,18,,4525,606350.0
S00030,2024-01-22,North,Radial,14,110.0,5282,581020.0
S00031,2024-03-29,East,Radial,18,57.0,5126,
S00032,2024-02-18,South,Radial,18,135.0,4568,616680.0
S00033,2024-02-28,South,Biased,17,67.0,4438,297346.0
S00034,2024-06-18,South,Radial,17,53.0,3502,185606.0
